customer_key,customer_name,email,city,country,active_status
69,JUDY GRAY,JUDY.GRAY@sakilacustomer.org,Bchar,Algeria,1
70,CHRISTINA RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,al-Hawiya,Saudi Arabia,1
71,KATHY JAMES,KATHY.JAMES@sakilacustomer.org,Baybay,Philippines,1
72,THERESA WATSON,THERESA.WATSON@sakilacustomer.org,Taguig,Philippines,1
73,BEVERLY BROOKS,BEVERLY.BROOKS@sakilacustomer.org,Chiayi,Taiwan,1
74,DENISE KELLY,DENISE.KELLY@sakilacustomer.org,Rio Claro,Brazil,1
75,TAMMY SANDERS,TAMMY.SANDERS@sakilacustomer.org,Changhwa,Taiwan,1
76,IRENE PRICE,IRENE.PRICE@sakilacustomer.org,Pavlodar,Kazakstan,1
77,JANE BENNETT,JANE.BENNETT@sakilacustomer.org,Araatuba,Brazil,1
78,LORI WOOD,LORI.WOOD@sakilacustomer.org,Rae Bareli,India,1
79,RACHEL BARNES,RACHEL.BARNES@sakilacustomer.org,Kamakura,Japan,1
80,MARILYN ROSS,MARILYN.ROSS@sakilacustomer.org,Ife,Nigeria,1
81,ANDREA HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,Mahajanga,Madagascar,1
82,KATHRYN COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,Simferopol,Ukraine,1
83,LOUISE JENKINS,LOUISE.JENKINS@sakilacustomer.org,Springs,South Africa,1
84,SARA PERRY,SARA.PERRY@sakilacustomer.org,Atlixco,Mexico,1
85,ANNE POWELL,ANNE.POWELL@sakilacustomer.org,Bradford,United Kingdom,1
86,JACQUELINE LONG,JACQUELINE.LONG@sakilacustomer.org,Songkhla,Thailand,1
87,WANDA PATTERSON,WANDA.PATTERSON@sakilacustomer.org,Sincelejo,Colombia,1
88,BONNIE HUGHES,BONNIE.HUGHES@sakilacustomer.org,Cheju,South Korea,1
89,JULIA FLORES,JULIA.FLORES@sakilacustomer.org,La Plata,Argentina,1
90,RUBY WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org,Meixian,China,1
91,LOIS BUTLER,LOIS.BUTLER@sakilacustomer.org,Bandar Seri Begawan,Brunei,1
92,TINA SIMMONS,TINA.SIMMONS@sakilacustomer.org,Goinia,Brazil,1
93,PHYLLIS FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,Zalantun,China,1
94,NORMA GONZALES,NORMA.GONZALES@sakilacustomer.org,Bislig,Philippines,1
95,PAULA BRYANT,PAULA.BRYANT@sakilacustomer.org,Pathankot,India,1
96,DIANA ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org,Augusta-Richmond County,United States,1
97,ANNIE RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,Tete,Mozambique,1
98,LILLIAN GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org,al-Ayn,United Arab Emirates,1
99,EMILY DIAZ,EMILY.DIAZ@sakilacustomer.org,Kimchon,South Korea,1
100,ROBIN HAYES,ROBIN.HAYES@sakilacustomer.org,Jelets,Russian Federation,1
101,PEGGY MYERS,PEGGY.MYERS@sakilacustomer.org,Abha,Saudi Arabia,1
102,CRYSTAL FORD,CRYSTAL.FORD@sakilacustomer.org,Ashdod,Israel,1
103,GLADYS HAMILTON,GLADYS.HAMILTON@sakilacustomer.org,Ilorin,Nigeria,1
104,RITA GRAHAM,RITA.GRAHAM@sakilacustomer.org,Toulon,France,1
105,DAWN SULLIVAN,DAWN.SULLIVAN@sakilacustomer.org,Funafuti,Tuvalu,1
106,CONNIE WALLACE,CONNIE.WALLACE@sakilacustomer.org,Ivanovo,Russian Federation,1
107,FLORENCE WOODS,FLORENCE.WOODS@sakilacustomer.org,Merlo,Argentina,1
108,TRACY COLE,TRACY.COLE@sakilacustomer.org,Huixquilucan,Mexico,1
109,EDNA WEST,EDNA.WEST@sakilacustomer.org,Klerksdorp,South Africa,1
110,TIFFANY JORDAN,TIFFANY.JORDAN@sakilacustomer.org,Enshi,China,1
111,CARMEN OWENS,CARMEN.OWENS@sakilacustomer.org,Caracas,Venezuela,1
112,ROSA REYNOLDS,ROSA.REYNOLDS@sakilacustomer.org,Lancaster,United States,1
113,CINDY FISHER,CINDY.FISHER@sakilacustomer.org,Cuman,Venezuela,1
114,GRACE ELLIS,GRACE.ELLIS@sakilacustomer.org,Duisburg,Germany,1
115,WENDY HARRISON,WENDY.HARRISON@sakilacustomer.org,Nezahualcyotl,Mexico,1
116,VICTORIA GIBSON,VICTORIA.GIBSON@sakilacustomer.org,Pemalang,Indonesia,1
117,EDITH MCDONALD,EDITH.MCDONALD@sakilacustomer.org,Gandhinagar,India,1
118,KIM CRUZ,KIM.CRUZ@sakilacustomer.org,Grand Prairie,United States,1
119,SHERRY MARSHALL,SHERRY.MARSHALL@sakilacustomer.org,Shubra al-Khayma,Egypt,1
120,SYLVIA ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,Dos Quebradas,Colombia,1
121,JOSEPHINE GOMEZ,JOSEPHINE.GOMEZ@sakilacustomer.org,Etawah,India,1
122,THELMA MURRAY,THELMA.MURRAY@sakilacustomer.org,Lima,Peru,1
123,SHANNON FREEMAN,SHANNON.FREEMAN@sakilacustomer.org,Varanasi (Benares),India,1
124,SHEILA WELLS,SHEILA.WELLS@sakilacustomer.org,Ktahya,Turkey,0
125,ETHEL WEBB,ETHEL.WEBB@sakilacustomer.org,Boksburg,South Africa,1
126,ELLEN SIMPSON,ELLEN.SIMPSON@sakilacustomer.org,Po,Brazil,1
127,ELAINE STEVENS,ELAINE.STEVENS@sakilacustomer.org,Smolensk,Russian Federation,1
128,MARJORIE TUCKER,MARJORIE.TUCKER@sakilacustomer.org,Jastrzebie-Zdrj,Poland,1
129,CARRIE PORTER,CARRIE.PORTER@sakilacustomer.org,Liaocheng,China,1
130,CHARLOTTE HUNTER,CHARLOTTE.HUNTER@sakilacustomer.org,guas Lindas de Gois,Brazil,1
131,MONICA HICKS,MONICA.HICKS@sakilacustomer.org,Mukateve,Ukraine,1
132,ESTHER CRAWFORD,ESTHER.CRAWFORD@sakilacustomer.org,Botshabelo,South Africa,1
133,PAULINE HENRY,PAULINE.HENRY@sakilacustomer.org,Torren,Mexico,1
134,EMMA BOYD,EMMA.BOYD@sakilacustomer.org,Qalyub,Egypt,1
135,JUANITA MASON,JUANITA.MASON@sakilacustomer.org,Pune,India,1
136,ANITA MORALES,ANITA.MORALES@sakilacustomer.org,Hubli-Dharwad,India,1
137,RHONDA KENNEDY,RHONDA.KENNEDY@sakilacustomer.org,Apeldoorn,Netherlands,1
138,HAZEL WARREN,HAZEL.WARREN@sakilacustomer.org,Hohhot,China,1
139,AMBER DIXON,AMBER.DIXON@sakilacustomer.org,Touliu,Taiwan,1
140,EVA RAMOS,EVA.RAMOS@sakilacustomer.org,Clarksville,United States,1
141,DEBBIE REYES,DEBBIE.REYES@sakilacustomer.org,Fukuyama,Japan,1
142,APRIL BURNS,APRIL.BURNS@sakilacustomer.org,Dundee,United Kingdom,1
143,LESLIE GORDON,LESLIE.GORDON@sakilacustomer.org,Kilis,Turkey,1
144,CLARA SHAW,CLARA.SHAW@sakilacustomer.org,Molodetno,Belarus,1
145,LUCILLE HOLMES,LUCILLE.HOLMES@sakilacustomer.org,Soshanguve,South Africa,1
146,JAMIE RICE,JAMIE.RICE@sakilacustomer.org,Sterling Heights,United States,1
147,JOANNE ROBERTSON,JOANNE.ROBERTSON@sakilacustomer.org,Urawa,Japan,1
148,ELEANOR HUNT,ELEANOR.HUNT@sakilacustomer.org,Saint-Denis,Runion,1
149,VALERIE BLACK,VALERIE.BLACK@sakilacustomer.org,Brockton,United States,1
150,DANIELLE DANIELS,DANIELLE.DANIELS@sakilacustomer.org,Hidalgo,Mexico,1
151,MEGAN PALMER,MEGAN.PALMER@sakilacustomer.org,Laiwu,China,1
152,ALICIA MILLS,ALICIA.MILLS@sakilacustomer.org,Nagaon,India,1
153,SUZANNE NICHOLS,SUZANNE.NICHOLS@sakilacustomer.org,Jakarta,Indonesia,1
154,MICHELE GRANT,MICHELE.GRANT@sakilacustomer.org,Yuncheng,China,1
155,GAIL KNIGHT,GAIL.KNIGHT@sakilacustomer.org,Bern,Switzerland,1
156,BERTHA FERGUSON,BERTHA.FERGUSON@sakilacustomer.org,Ondo,Nigeria,1
157,DARLENE ROSE,DARLENE.ROSE@sakilacustomer.org,Pyongyang,North Korea,1
158,VERONICA STONE,VERONICA.STONE@sakilacustomer.org,Greensboro,United States,1
159,JILL HAWKINS,JILL.HAWKINS@sakilacustomer.org,Linz,Austria,1
160,ERIN DUNN,ERIN.DUNN@sakilacustomer.org,Ljubertsy,Russian Federation,1
161,GERALDINE PERKINS,GERALDINE.PERKINS@sakilacustomer.org,Tel Aviv-Jaffa,Israel,1
162,LAUREN HUDSON,LAUREN.HUDSON@sakilacustomer.org,Le Mans,France,1
163,CATHY SPENCER,CATHY.SPENCER@sakilacustomer.org,Kakamigahara,Japan,1
164,JOANN GARDNER,JOANN.GARDNER@sakilacustomer.org,Tarsus,Turkey,1
165,LORRAINE STEPHENS,LORRAINE.STEPHENS@sakilacustomer.org,Hami,China,1
166,LYNN PAYNE,LYNN.PAYNE@sakilacustomer.org,Lilongwe,Malawi,1
167,SALLY PIERCE,SALLY.PIERCE@sakilacustomer.org,Chandrapur,India,1
168,REGINA BERRY,REGINA.BERRY@sakilacustomer.org,Jinchang,China,1
169,ERICA MATTHEWS,ERICA.MATTHEWS@sakilacustomer.org,Pingxiang,China,0
170,BEATRICE ARNOLD,BEATRICE.ARNOLD@sakilacustomer.org,Udaipur,India,1
171,DOLORES WAGNER,DOLORES.WAGNER@sakilacustomer.org,Ipoh,Malaysia,1
172,BERNICE WILLIS,BERNICE.WILLIS@sakilacustomer.org,Batman,Turkey,1
173,AUDREY RAY,AUDREY.RAY@sakilacustomer.org,Graz,Austria,1
174,YVONNE WATKINS,YVONNE.WATKINS@sakilacustomer.org,Ocumare del Tuy,Venezuela,1
175,ANNETTE OLSON,ANNETTE.OLSON@sakilacustomer.org,Allappuzha (Alleppey),India,1
176,JUNE CARROLL,JUNE.CARROLL@sakilacustomer.org,Skikda,Algeria,1
177,SAMANTHA DUNCAN,SAMANTHA.DUNCAN@sakilacustomer.org,Matamoros,Mexico,1
178,MARION SNYDER,MARION.SNYDER@sakilacustomer.org,Santa Brbara dOeste,Brazil,1
179,DANA HART,DANA.HART@sakilacustomer.org,Kirovo-Tepetsk,Russian Federation,1
180,STACY CUNNINGHAM,STACY.CUNNINGHAM@sakilacustomer.org,Pereira,Colombia,1
181,ANA BRADLEY,ANA.BRADLEY@sakilacustomer.org,Memphis,United States,1
182,RENEE LANE,RENEE.LANE@sakilacustomer.org,Compton,United States,1
183,IDA ANDREWS,IDA.ANDREWS@sakilacustomer.org,Luzinia,Brazil,1
184,VIVIAN RUIZ,VIVIAN.RUIZ@sakilacustomer.org,s-Hertogenbosch,Netherlands,1
185,ROBERTA HARPER,ROBERTA.HARPER@sakilacustomer.org,Shahr-e Kord,Iran,1
186,HOLLY FOX,HOLLY.FOX@sakilacustomer.org,Haldia,India,1
187,BRITTANY RILEY,BRITTANY.RILEY@sakilacustomer.org,Sumy,Ukraine,1
188,MELANIE ARMSTRONG,MELANIE.ARMSTRONG@sakilacustomer.org,Bayugan,Philippines,1
189,LORETTA CARPENTER,LORETTA.CARPENTER@sakilacustomer.org,Oshawa,Canada,1
190,YOLANDA WEAVER,YOLANDA.WEAVER@sakilacustomer.org,Tabora,Tanzania,1
191,JEANETTE GREENE,JEANETTE.GREENE@sakilacustomer.org,Novoterkassk,Russian Federation,1
192,LAURIE LAWRENCE,LAURIE.LAWRENCE@sakilacustomer.org,Firozabad,India,1
193,KATIE ELLIOTT,KATIE.ELLIOTT@sakilacustomer.org,Kisumu,Kenya,1
194,KRISTEN CHAVEZ,KRISTEN.CHAVEZ@sakilacustomer.org,Hino,Japan,1
195,VANESSA SIMS,VANESSA.SIMS@sakilacustomer.org,Siegen,Germany,1
196,ALMA AUSTIN,ALMA.AUSTIN@sakilacustomer.org,Mannheim,Germany,1
197,SUE PETERS,SUE.PETERS@sakilacustomer.org,Changzhou,China,1
198,ELSIE KELLEY,ELSIE.KELLEY@sakilacustomer.org,Ikerre,Nigeria,1
199,BETH FRANKLIN,BETH.FRANKLIN@sakilacustomer.org,Haiphong,Vietnam,1
200,JEANNE LAWSON,JEANNE.LAWSON@sakilacustomer.org,Ashgabat,Turkmenistan,1
201,VICKI FIELDS,VICKI.FIELDS@sakilacustomer.org,Witten,Germany,1
202,CARLA GUTIERREZ,CARLA.GUTIERREZ@sakilacustomer.org,Bhusawal,India,1
203,TARA RYAN,TARA.RYAN@sakilacustomer.org,Gorontalo,Indonesia,1
204,ROSEMARY SCHMIDT,ROSEMARY.SCHMIDT@sakilacustomer.org,Usak,Turkey,1
205,EILEEN CARR,EILEEN.CARR@sakilacustomer.org,Ciudad del Este,Paraguay,1
206,TERRI VASQUEZ,TERRI.VASQUEZ@sakilacustomer.org,Blumenau,Brazil,1
207,GERTRUDE CASTILLO,GERTRUDE.CASTILLO@sakilacustomer.org,Nuuk,Greenland,1
208,LUCY WHEELER,LUCY.WHEELER@sakilacustomer.org,Balurghat,India,1
209,TONYA CHAPMAN,TONYA.CHAPMAN@sakilacustomer.org,Bhilwara,India,1
210,ELLA OLIVER,ELLA.OLIVER@sakilacustomer.org,Aden,Yemen,1
211,STACEY MONTGOMERY,STACEY.MONTGOMERY@sakilacustomer.org,Fuyu,China,1
212,WILMA RICHARDS,WILMA.RICHARDS@sakilacustomer.org,Bellevue,United States,1
213,GINA WILLIAMSON,GINA.WILLIAMSON@sakilacustomer.org,Taizz,Yemen,1
214,KRISTIN JOHNSTON,KRISTIN.JOHNSTON@sakilacustomer.org,Sunnyvale,United States,1
215,JESSIE BANKS,JESSIE.BANKS@sakilacustomer.org,Stara Zagora,Bulgaria,1
216,NATALIE MEYER,NATALIE.MEYER@sakilacustomer.org,Aparecida de Goinia,Brazil,1
217,AGNES BISHOP,AGNES.BISHOP@sakilacustomer.org,Sambhal,India,1
218,VERA MCCOY,VERA.MCCOY@sakilacustomer.org,Kabul,Afghanistan,1
219,WILLIE HOWELL,WILLIE.HOWELL@sakilacustomer.org,Vicente Lpez,Argentina,1
220,CHARLENE ALVAREZ,CHARLENE.ALVAREZ@sakilacustomer.org,Zanzibar,Tanzania,1
221,BESSIE MORRISON,BESSIE.MORRISON@sakilacustomer.org,Syrakusa,Italy,1
222,DELORES HANSEN,DELORES.HANSEN@sakilacustomer.org,Jaroslavl,Russian Federation,1
223,MELINDA FERNANDEZ,MELINDA.FERNANDEZ@sakilacustomer.org,Mandi Bahauddin,Pakistan,1
224,PEARL GARZA,PEARL.GARZA@sakilacustomer.org,Jodhpur,India,1
225,ARLENE HARVEY,ARLENE.HARVEY@sakilacustomer.org,Ambattur,India,1
226,MAUREEN LITTLE,MAUREEN.LITTLE@sakilacustomer.org,Asuncin,Paraguay,1
227,COLLEEN BURTON,COLLEEN.BURTON@sakilacustomer.org,Saarbrcken,Germany,1
228,ALLISON STANLEY,ALLISON.STANLEY@sakilacustomer.org,Phnom Penh,Cambodia,1
229,TAMARA NGUYEN,TAMARA.NGUYEN@sakilacustomer.org,Anpolis,Brazil,1
230,JOY GEORGE,JOY.GEORGE@sakilacustomer.org,Botosani,Romania,1
231,GEORGIA JACOBS,GEORGIA.JACOBS@sakilacustomer.org,Uttarpara-Kotrung,India,1
232,CONSTANCE REID,CONSTANCE.REID@sakilacustomer.org,Zaria,Nigeria,1
233,LILLIE KIM,LILLIE.KIM@sakilacustomer.org,Idfu,Egypt,1
234,CLAUDIA FULLER,CLAUDIA.FULLER@sakilacustomer.org,Jalib al-Shuyukh,Kuwait,1
235,JACKIE LYNCH,JACKIE.LYNCH@sakilacustomer.org,Buenaventura,Colombia,1
236,MARCIA DEAN,MARCIA.DEAN@sakilacustomer.org,Tanza,Philippines,1
237,TANYA GILBERT,TANYA.GILBERT@sakilacustomer.org,Naju,South Korea,1
238,NELLIE GARRETT,NELLIE.GARRETT@sakilacustomer.org,Shimoga,India,1
239,MINNIE ROMERO,MINNIE.ROMERO@sakilacustomer.org,Ciomas,Indonesia,1
240,MARLENE WELCH,MARLENE.WELCH@sakilacustomer.org,Iwaki,Japan,1
241,HEIDI LARSON,HEIDI.LARSON@sakilacustomer.org,Xiangfan,China,0
242,GLENDA FRAZIER,GLENDA.FRAZIER@sakilacustomer.org,Qinhuangdao,China,1
243,LYDIA BURKE,LYDIA.BURKE@sakilacustomer.org,San Miguel de Tucumn,Argentina,1
244,VIOLA HANSON,VIOLA.HANSON@sakilacustomer.org,Lapu-Lapu,Philippines,1
245,COURTNEY DAY,COURTNEY.DAY@sakilacustomer.org,Uijongbu,South Korea,1
246,MARIAN MENDOZA,MARIAN.MENDOZA@sakilacustomer.org,Maring,Brazil,1
247,STELLA MORENO,STELLA.MORENO@sakilacustomer.org,Coacalco de Berriozbal,Mexico,1
248,CAROLINE BOWMAN,CAROLINE.BOWMAN@sakilacustomer.org,Tallahassee,United States,1
249,DORA MEDINA,DORA.MEDINA@sakilacustomer.org,Tianjin,China,1
250,JO FOWLER,JO.FOWLER@sakilacustomer.org,Oyo,Nigeria,1
251,VICKIE BREWER,VICKIE.BREWER@sakilacustomer.org,Halle/Saale,Germany,1
252,MATTIE HOFFMAN,MATTIE.HOFFMAN@sakilacustomer.org,London,United Kingdom,1
253,TERRY CARLSON,TERRY.CARLSON@sakilacustomer.org,Miyakonojo,Japan,1
254,MAXINE SILVA,MAXINE.SILVA@sakilacustomer.org,Poos de Caldas,Brazil,1
255,IRMA PEARSON,IRMA.PEARSON@sakilacustomer.org,Hagonoy,Philippines,1
256,MABEL HOLLAND,MABEL.HOLLAND@sakilacustomer.org,Monywa,Myanmar,1
257,MARSHA DOUGLAS,MARSHA.DOUGLAS@sakilacustomer.org,Beira,Mozambique,1
258,MYRTLE FLEMING,MYRTLE.FLEMING@sakilacustomer.org,Santiago de los Caballeros,Dominican Republic,1
259,LENA JENSEN,LENA.JENSEN@sakilacustomer.org,Halisahar,India,1
260,CHRISTY VARGAS,CHRISTY.VARGAS@sakilacustomer.org,Datong,China,1
261,DEANNA BYRD,DEANNA.BYRD@sakilacustomer.org,Tuguegarao,Philippines,1
262,PATSY DAVIDSON,PATSY.DAVIDSON@sakilacustomer.org,Portoviejo,Ecuador,1
263,HILDA HOPKINS,HILDA.HOPKINS@sakilacustomer.org,Mandaluyong,Philippines,1
264,GWENDOLYN MAY,GWENDOLYN.MAY@sakilacustomer.org,Higashiosaka,Japan,1
265,JENNIE TERRY,JENNIE.TERRY@sakilacustomer.org,Olomouc,Czech Republic,1
266,NORA HERRERA,NORA.HERRERA@sakilacustomer.org,Salzburg,Austria,1
267,MARGIE WADE,MARGIE.WADE@sakilacustomer.org,Lengshuijiang,China,1
268,NINA SOTO,NINA.SOTO@sakilacustomer.org,Palghat (Palakkad),India,1
269,CASSANDRA WALTERS,CASSANDRA.WALTERS@sakilacustomer.org,Salinas,United States,1
270,LEAH CURTIS,LEAH.CURTIS@sakilacustomer.org,Kalisz,Poland,1
271,PENNY NEAL,PENNY.NEAL@sakilacustomer.org,Kumbakonam,India,0
272,KAY CALDWELL,KAY.CALDWELL@sakilacustomer.org,Yantai,China,1
273,PRISCILLA LOWE,PRISCILLA.LOWE@sakilacustomer.org,Salamanca,Mexico,1
274,NAOMI JENNINGS,NAOMI.JENNINGS@sakilacustomer.org,Karnal,India,1
275,CAROLE BARNETT,CAROLE.BARNETT@sakilacustomer.org,Peoria,United States,1
276,BRANDY GRAVES,BRANDY.GRAVES@sakilacustomer.org,Warren,United States,1
277,OLGA JIMENEZ,OLGA.JIMENEZ@sakilacustomer.org,Ogbomosho,Nigeria,1
278,BILLIE HORTON,BILLIE.HORTON@sakilacustomer.org,Inegl,Turkey,1
279,DIANNE SHELTON,DIANNE.SHELTON@sakilacustomer.org,Tabriz,Iran,1
280,TRACEY BARRETT,TRACEY.BARRETT@sakilacustomer.org,Owo,Nigeria,1
281,LEONA OBRIEN,LEONA.OBRIEN@sakilacustomer.org,Fuzhou,China,1
282,JENNY CASTRO,JENNY.CASTRO@sakilacustomer.org,Ponce,Puerto Rico,1
283,FELICIA SUTTON,FELICIA.SUTTON@sakilacustomer.org,Korla,China,1
284,SONIA GREGORY,SONIA.GREGORY@sakilacustomer.org,Benin City,Nigeria,1
285,MIRIAM MCKINNEY,MIRIAM.MCKINNEY@sakilacustomer.org,Otsu,Japan,1
286,VELMA LUCAS,VELMA.LUCAS@sakilacustomer.org,Effon-Alaiye,Nigeria,1
287,BECKY MILES,BECKY.MILES@sakilacustomer.org,Tambaram,India,1
288,BOBBIE CRAIG,BOBBIE.CRAIG@sakilacustomer.org,Valle de Santiago,Mexico,1
289,VIOLET RODRIQUEZ,VIOLET.RODRIQUEZ@sakilacustomer.org,Kowloon and New Kowloon,Hong Kong,1
290,KRISTINA CHAMBERS,KRISTINA.CHAMBERS@sakilacustomer.org,Valle de la Pascua,Venezuela,1
291,TONI HOLT,TONI.HOLT@sakilacustomer.org,Roanoke,United States,1
292,MISTY LAMBERT,MISTY.LAMBERT@sakilacustomer.org,Sharja,United Arab Emirates,1
